"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume","No.","Ticker","Beta","Average True Range","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","52-Week Low","Relative Strength Index (14)","Price","Change","Change from Open","Gap","Volume"
1,"INT","World Fuel Services Corporation","Basic Materials","Oil & Gas Refining & Marketing","USA",2586.01,20.41,36.98,0.46%,693000,1,"INT",1.06,0.89,0.71%,-10.90%,-16.47%,-27.10%,3.84%,36.31,36.98,0.46%,0.24%,0.22%,693000
2,"PEIX","Pacific Ethanol, Inc.","Basic Materials","Oil & Gas Refining & Marketing","USA",294.78,6800.00,6.80,2.26%,1999400,2,"PEIX",2.15,0.41,-9.00%,-11.99%,-5.48%,-37.90%,85.29%,35.67,6.80,2.26%,3.03%,-0.75%,1999400
3,"UNT","Unit Corporation","Basic Materials","Oil & Gas Drilling & Exploration","USA",1147.15,,22.21,-0.98%,1304300,3,"UNT",2.49,1.39,-10.30%,-15.21%,10.00%,-27.49%,173.52%,39.17,22.21,-0.98%,-1.38%,0.40%,1304300
4,"BRS","Bristow Group Inc.","Basic Materials","Oil & Gas Equipment & Services","USA",488.45,,13.92,0.51%,984100,4,"BRS",2.82,0.69,-9.13%,-19.56%,-3.60%,-39.90%,54.13%,32.09,13.92,0.51%,-0.50%,1.01%,984100
5,"PDCE","PDC Energy, Inc.","Basic Materials","Independent Oil & Gas","USA",4251.38,,64.65,0.33%,1089400,5,"PDCE",1.09,1.98,-4.58%,-9.95%,-1.39%,-23.83%,28.99%,38.57,64.65,0.33%,0.22%,0.11%,1089400
6,"XEC","Cimarex Energy Co.","Basic Materials","Independent Oil & Gas","USA",11501.91,,120.92,-0.11%,1010400,6,"XEC",1.52,3.01,-3.38%,-8.29%,-6.03%,-17.67%,32.73%,37.13,120.92,-0.11%,-0.62%,0.52%,1010400
7,"MPLX","MPLX LP","Basic Materials","Oil & Gas Pipelines","USA",13191.04,,35.75,-2.05%,2158800,7,"MPLX",1.32,0.83,-4.29%,-3.32%,7.88%,-9.33%,46.14%,38.76,35.75,-2.05%,-2.03%,-0.03%,2158800
8,"CRZO","Carrizo Oil & Gas, Inc.","Basic Materials","Independent Oil & Gas","USA",1851.93,,28.43,-0.32%,1658900,8,"CRZO",2.11,1.25,-8.30%,-15.91%,-22.12%,-35.33%,7.28%,34.59,28.43,-0.32%,-0.70%,0.39%,1658900
9,"CRC","California Resources Corporation","Basic Materials","Independent Oil & Gas","USA",626.76,2.28,14.73,-3.28%,2405200,9,"CRC",,1.14,-14.31%,-23.52%,-0.39%,-42.24%,67.58%,35.04,14.73,-3.28%,-5.27%,2.10%,2405200
10,"SLCA","U.S. Silica Holdings, Inc.","Basic Materials","Industrial Metals & Minerals","USA",3770.91,,46.52,-1.44%,2943600,10,"SLCA",2.57,2.71,-9.42%,-15.45%,2.02%,-24.24%,131.22%,37.54,46.52,-1.44%,-1.71%,0.28%,2943600
