"No.","Ticker","Beta","Average True Range","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","52-Week Low","Relative Strength Index (14)","Price","Change","Change from Open","Gap","Volume"
1,"PEIX",2.15,0.42,-11.01%,-13.96%,-6.11%,-38.36%,83.92%,33.16,6.75,-3.57%,-3.57%,0.00%,1427603
2,"CRC",,1.18,-10.27%,-19.32%,6.45%,-38.27%,79.07%,39.55,15.74,8.03%,4.03%,3.84%,1664326
3,"FMSA",,0.73,-26.51%,-35.40%,-17.94%,-44.21%,214.16%,27.57,7.32,5.17%,2.95%,2.16%,6303438
4,"HSC",2.90,0.56,-9.44%,-10.07%,11.75%,-19.67%,167.47%,38.83,12.25,2.51%,1.24%,1.26%,627979
5,"MDR",1.46,0.29,-9.71%,-12.97%,10.19%,-20.89%,86.69%,36.10,6.59,3.94%,2.49%,1.42%,3625651
6,"WLL",3.22,0.51,-10.13%,-16.12%,-3.48%,-34.35%,48.59%,36.87,9.48,6.04%,3.72%,2.24%,17982502
7,"CRZO",2.12,1.31,-8.28%,-15.28%,-20.90%,-34.14%,9.99%,36.02,28.95,2.95%,1.47%,1.46%,1641315
8,"ESV",1.71,0.48,-10.85%,-17.07%,-6.45%,-29.06%,34.58%,35.60,8.73,2.95%,1.28%,1.65%,12142890
9,"BAS",,1.74,-12.33%,-14.70%,-14.24%,-26.13%,12.74%,39.98,33.10,9.20%,6.98%,2.08%,647717
10,"CPE",1.68,0.55,-8.68%,-16.82%,-14.75%,-35.94%,53.56%,35.11,11.87,4.12%,3.04%,1.05%,6500724
11,"QEP",1.79,0.59,-7.88%,-18.56%,-24.63%,-36.03%,10.65%,34.57,13.51,6.13%,4.65%,1.41%,4642370
12,"BHI",0.80,1.15,-3.23%,-5.86%,6.06%,-15.63%,53.24%,39.64,57.71,2.20%,1.41%,0.78%,2293931
13,"HK",3.50,0.42,-9.55%,-14.97%,26.35%,-37.97%,3286.36%,38.01,7.45,5.08%,3.04%,1.97%,975259
14,"APA",1.16,1.35,-3.25%,-11.41%,-11.57%,-25.69%,12.56%,34.39,51.07,1.47%,0.63%,0.83%,3262452
15,"UNT",2.50,1.48,-13.23%,-16.69%,9.36%,-28.21%,170.81%,36.86,21.99,6.08%,3.19%,2.80%,801557
16,"NBL",1.15,0.94,-5.07%,-9.07%,-5.51%,-17.92%,20.72%,37.68,34.41,2.14%,0.79%,1.34%,4360633
17,"GPOR",1.20,0.62,-5.54%,-14.23%,-34.20%,-50.82%,6.23%,35.08,17.05,2.59%,1.73%,0.84%,3854909
18,"BRS",2.83,0.84,-11.17%,-20.58%,-3.26%,-39.73%,54.57%,30.12,13.96,1.23%,-1.13%,2.39%,683742
19,"INT",1.06,0.90,-0.60%,-11.63%,-16.59%,-27.06%,3.90%,34.25,37.06,1.28%,1.20%,0.08%,672292
20,"NFX",1.52,1.24,-6.85%,-12.16%,-16.74%,-29.76%,13.73%,35.60,35.12,2.12%,0.43%,1.69%,2855120
21,"SLCA",2.58,2.75,-10.14%,-14.79%,3.96%,-23.12%,140.59%,39.09,47.21,7.22%,5.57%,1.57%,3236283
22,"NBR",1.67,0.56,-5.90%,-13.53%,8.93%,-25.15%,83.65%,37.99,13.71,4.74%,3.16%,1.53%,7812632
23,"LTRPA",,0.53,-5.47%,-15.79%,-29.92%,-44.60%,4.60%,32.26,13.65,0.74%,0.37%,0.37%,446968
