No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Beta,Average True Range,20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,52-Week High,52-Week Low,Relative Strength Index (14),Price,Change,Change from Open,Gap,Volume
6,AEM,Agnico Eagle Mines Limited,Basic Materials,Gold,Canada,9005.29,58.35,41.25,0.12%,1373808,-0.49,1.41,-6.80%,-8.95%,-14.93%,-30.92%,20.76%,35.88,41.25,0.12%,-0.27%,0.39%,1373808
4,RGLD,"Royal Gold, Inc.",Basic Materials,Gold,USA,4106.4,391.49,63.03,0.13%,373714,0.58,1.84,-6.28%,-7.27%,-11.46%,-27.68%,40.45%,36.95,63.03,0.13%,0.00%,0.13%,373714
34,APA,Apache Corporation,Basic Materials,Independent Oil & Gas,USA,19196.73,,50.16,-0.14%,4053343,1.16,1.43,-6.22%,-13.81%,-13.25%,-27.02%,10.56%,26.81,50.16,-0.14%,-0.12%,-0.02%,4053343
22,APC,Anadarko Petroleum Corporation,Basic Materials,Independent Oil & Gas,USA,35143.39,,62.82,1.50%,4143915,1.47,1.61,-3.67%,-7.70%,2.79%,-14.26%,44.83%,36.26,62.82,1.50%,1.68%,-0.18%,4143915
14,CNX,CONSOL Energy Inc.,Basic Materials,Independent Oil & Gas,USA,3559.05,,15.35,1.05%,2083472,1.45,0.51,-5.07%,-11.69%,-12.90%,-31.29%,58.90%,37.25,15.35,1.05%,0.85%,0.20%,2083472
21,CPE,Callon Petroleum Company,Basic Materials,Independent Oil & Gas,USA,2314.08,,11.6,0.61%,3034884,1.68,0.54,-12.74%,-19.62%,-16.69%,-37.40%,50.06%,27.49,11.6,0.61%,1.05%,-0.43%,3034884
3,CRC,California Resources Corporation,Basic Materials,Independent Oil & Gas,USA,677.27,2.36,15.24,1.40%,1519811,,1.15,-15.13%,-22.72%,2.89%,-40.24%,73.38%,33.29,15.24,1.40%,1.33%,0.07%,1519811
18,CRZO,"Carrizo Oil & Gas, Inc.",Basic Materials,Independent Oil & Gas,USA,1836.43,,28.49,1.33%,1226889,2.12,1.33,-11.37%,-17.55%,-22.39%,-35.20%,8.23%,31.19,28.49,1.33%,1.26%,0.07%,1226889
7,DVN,Devon Energy Corporation,Basic Materials,Independent Oil & Gas,USA,21759.59,,40.96,1.74%,4366698,2.1,1.4,-6.04%,-9.38%,-2.91%,-19.09%,77.86%,35.56,40.96,1.74%,2.27%,-0.52%,4366698
24,EGN,Energen Corporation,Basic Materials,Independent Oil & Gas,USA,4962.37,,50.59,-0.30%,1055923,1.9,1.63,-6.01%,-7.90%,-5.74%,-21.49%,60.96%,36.73,50.59,-0.30%,0.24%,-0.53%,1055923
30,EQT,EQT Corporation,Basic Materials,Independent Oil & Gas,USA,10095.94,,57.81,1.28%,2590441,0.88,1.77,-4.84%,-7.36%,-16.37%,-28.19%,2.39%,38.34,57.81,1.28%,0.31%,0.96%,2590441
37,GPOR,Gulfport Energy Corporation,Basic Materials,Independent Oil & Gas,USA,2666.04,,16.55,-1.66%,5969333,1.2,0.63,-10.35%,-17.63%,-36.47%,-52.26%,-0.12%,25.54,16.55,-1.66%,-1.66%,0.00%,5969333
16,HES,Hess Corporation,Basic Materials,Independent Oil & Gas,USA,15432.82,,47.79,0.78%,6240674,1.8,1.36,-6.54%,-13.30%,-12.35%,-26.82%,5.75%,26.85,47.79,0.78%,1.44%,-0.65%,6240674
15,MTDR,Matador Resources Company,Basic Materials,Independent Oil & Gas,USA,2332.66,,23.13,-0.81%,1283143,1.26,0.97,-8.03%,-9.87%,-1.91%,-18.87%,31.87%,37.81,23.13,-0.81%,-0.73%,-0.09%,1283143
31,MUR,Murphy Oil Corporation,Basic Materials,Independent Oil & Gas,USA,4565.09,,26.4,-0.64%,3451532,2.13,0.93,-5.73%,-10.12%,-9.28%,-26.77%,21.17%,37.32,26.4,-0.64%,-0.41%,-0.23%,3451532
36,NBL,"Noble Energy, Inc.",Basic Materials,Independent Oil & Gas,USA,14900.28,,34.05,-0.06%,5425237,1.15,0.96,-7.29%,-10.45%,-6.55%,-18.78%,19.46%,32.15,34.05,-0.06%,-0.06%,0.00%,5425237
40,NFX,Newfield Exploration Company,Basic Materials,Independent Oil & Gas,USA,6918.22,,34.51,0.58%,3001391,1.52,1.24,-10.23%,-14.28%,-18.31%,-30.98%,11.90%,30.27,34.51,0.58%,0.55%,0.03%,3001391
38,PDCE,"PDC Energy, Inc.",Basic Materials,Independent Oil & Gas,USA,4252.63,,64.21,0.86%,946511,1.1,2.14,-7.46%,-11.46%,-1.88%,-24.35%,28.11%,34.7,64.21,0.86%,1.25%,-0.38%,946511
