"No.","Ticker","Beta","Average True Range","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","52-Week Low","Relative Strength Index (14)","Price","Change","Change from Open","Gap","Volume"
1,"INT",1.06,0.86,-5.65%,-14.12%,-18.11%,-28.16%,2.33%,25.81,36.50,1.22%,1.00%,0.22%,736983
2,"UNT",2.50,1.42,-15.24%,-17.15%,10.85%,-27.69%,172.78%,32.46,22.15,0.00%,-1.73%,1.76%,672184
3,"BAS",,1.73,-19.33%,-18.25%,-18.25%,-28.79%,8.69%,30.37,31.91,3.10%,2.31%,0.78%,924879
4,"RGLD",0.58,1.91,-6.89%,-7.40%,-11.51%,-27.77%,40.27%,36.11,62.95,2.44%,2.44%,0.00%,467642
5,"BRS",2.83,0.91,-13.83%,-22.21%,-3.00%,-39.60%,54.90%,29.43,13.99,1.23%,1.38%,-0.14%,546660
6,"PDCE",1.10,2.14,-8.80%,-12.49%,-2.68%,-25.00%,27.02%,32.28,63.66,-0.70%,-1.27%,0.58%,1091577
7,"SXC",1.31,0.36,-14.21%,-18.70%,-4.74%,-36.83%,61.48%,25.50,8.30,-0.36%,-1.89%,1.56%,541834
8,"REN",3.31,2.36,-19.10%,-17.29%,44.55%,-25.48%,1458.30%,30.94,36.62,-1.43%,-3.53%,2.18%,1033138
9,"CRR",1.51,0.82,-22.09%,-14.19%,-5.45%,-50.40%,95.05%,31.28,11.04,-2.73%,-1.87%,-0.88%,1214945
10,"XEC",1.53,3.19,-6.96%,-10.64%,-7.28%,-18.82%,34.25%,29.50,119.23,-1.39%,-2.25%,0.88%,1193378
11,"EGN",1.90,1.67,-5.94%,-7.94%,-5.41%,-21.26%,70.04%,37.36,50.74,-0.92%,-2.07%,1.17%,1351854
12,"XOG",,0.82,-8.94%,-11.09%,-17.83%,-34.77%,3.28%,36.05,16.36,1.36%,0.25%,1.12%,1179934
13,"MTDR",1.26,0.99,-7.94%,-9.34%,-1.07%,-18.20%,32.95%,38.50,23.32,-0.81%,-1.69%,0.89%,1330386
14,"CRZO",2.12,1.36,-13.15%,-19.16%,-23.51%,-36.06%,16.25%,29.06,28.11,1.04%,0.11%,0.93%,2140978
15,"HK",3.50,0.42,-14.00%,-17.16%,26.93%,-38.80%,3240.91%,31.47,7.35,2.08%,0.68%,1.39%,1595407
16,"CXO",1.18,3.54,-6.81%,-7.31%,-3.49%,-14.13%,34.42%,35.53,126.70,-0.82%,-1.67%,0.86%,1867385
17,"CRC",,1.16,-17.33%,-24.18%,1.45%,-41.06%,70.99%,31.97,15.03,-4.27%,-6.12%,1.97%,1501315
18,"RSPP",,1.32,-4.69%,-7.70%,-0.05%,-16.50%,59.46%,39.78,39.18,-0.08%,-1.31%,1.25%,1632181
19,"AEM",-0.49,1.46,-7.84%,-9.01%,-15.06%,-31.00%,20.83%,36.33,41.20,3.36%,2.59%,0.75%,2382219
20,"SLCA",2.58,2.62,-14.38%,-17.11%,2.98%,-24.28%,147.63%,33.08,46.56,0.78%,-2.00%,2.84%,3202875
21,"CVE",0.66,0.37,-8.13%,-13.22%,-16.52%,-28.18%,2.76%,32.02,12.08,1.26%,0.42%,0.84%,1753206
22,"EQT",0.88,1.76,-6.55%,-8.82%,-17.50%,-29.09%,1.10%,34.07,57.08,-0.75%,-1.69%,0.96%,3366340
23,"PBF",1.39,0.80,-6.35%,-8.42%,-5.13%,-34.95%,16.38%,38.80,22.08,1.05%,0.14%,0.92%,1500631
24,"BHI",0.80,1.17,-6.71%,-8.93%,3.78%,-17.72%,49.44%,25.36,56.28,-1.95%,-2.43%,0.49%,3277556
