No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Performance (Week),Performance (Month),Performance (Quarter),Performance (Year),20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,52-Week High,52-Week Low,Relative Strength Index (14),Price,Change,Volume
1,GSM,Ferroglobe PLC,Basic Materials,Industrial Metals & Minerals,USA,1654.8,,1.05%,-12.44%,10.70%,14.29%,-8.36%,-10.55%,3.28%,-20.16%,43.34%,35.34,9.64,-0.82%,498200
2,PSX,Phillips 66,Basic Materials,Oil & Gas Refining & Marketing,USA,44071.21,21.89,-0.55%,-3.31%,6.16%,9.86%,-3.10%,-1.31%,4.26%,-5.98%,19.27%,38.9,83.56,0.32%,2377800
3,SAEX,"SAExploration Holdings, Inc.",Basic Materials,Oil & Gas Equipment & Services,USA,66.06,0.84,-4.59%,-9.48%,-8.89%,-97.24%,-6.16%,-11.35%,-76.54%,-97.24%,17.44%,33,7.07,-2.62%,112500
4,ODC,Oil-Dri Corporation of America,Basic Materials,Specialty Chemicals,USA,239.13,24.44,-0.58%,-13.98%,-1.74%,1.70%,-8.85%,-9.70%,-3.59%,-16.44%,15.79%,30.55,34.21,-1.86%,9200
5,PHX,Panhandle Oil and Gas Inc.,Basic Materials,Independent Oil & Gas,USA,360.83,,-2.25%,-17.14%,24.16%,66.56%,-7.36%,-5.81%,17.87%,-21.48%,102.89%,37.02,21.75,-2.29%,22600
6,PARR,"Par Pacific Holdings, Inc.",Basic Materials,Oil & Gas Refining & Marketing,USA,622.66,,-3.65%,-6.33%,-0.37%,-38.34%,-5.82%,-6.94%,-10.62%,-44.17%,10.51%,37.73,13.46,1.58%,187265
7,MCF,Contango Oil & Gas Company,Basic Materials,Independent Oil & Gas,USA,203.39,,-8.55%,-17.40%,-23.55%,91.41%,-14.25%,-12.58%,-24.27%,-43.28%,117.93%,31.85,8.02,-4.30%,100300
8,WMB,"The Williams Companies, Inc.",Basic Materials,Oil & Gas Pipelines,USA,21464.52,,-10.93%,-2.67%,-1.74%,91.24%,-7.05%,-5.93%,11.96%,-13.00%,201.27%,36.69,28.44,-0.42%,9664300
9,WOR,"Worthington Industries, Inc.",Basic Materials,Steel & Iron,USA,2927.24,14.81,-0.65%,-16.66%,-2.66%,77.97%,-6.71%,-13.30%,4.49%,-25.87%,84.32%,29.99,46.12,-1.62%,498900
10,CPG,Crescent Point Energy Corp.,Basic Materials,Independent Oil & Gas,Canada,6799.73,,-2.86%,-9.25%,-4.27%,38.46%,-6.71%,-1.55%,-13.55%,-33.72%,61.83%,36.69,12.56,-0.87%,1059009
11,GPOR,Gulfport Energy Corp.,Basic Materials,Independent Oil & Gas,USA,3214.6,,0.34%,-23.10%,-29.31%,-11.10%,-4.79%,-14.26%,-25.77%,-40.38%,2.12%,32.68,20.67,-0.58%,2575200
12,GPRE,Green Plains Inc.,Basic Materials,Specialty Chemicals,USA,922.52,,-10.94%,-14.95%,-9.75%,37.05%,-14.02%,-10.93%,4.21%,-20.94%,90.55%,27.13,23.6,-0.84%,937824
13,KRA,Kraton Corporation,Basic Materials,Specialty Chemicals,USA,843.54,8.05,-1.19%,-15.36%,-17.47%,82.15%,-6.32%,-7.67%,-5.52%,-26.80%,105.62%,36.66,27.45,-2.93%,695200
14,AVD,American Vanguard Corporation,Basic Materials,Agricultural Chemicals,USA,500.45,41.6,-6.39%,-8.87%,9.19%,63.58%,-9.47%,-5.47%,4.87%,-15.71%,75.30%,33.06,16.85,-3.44%,82700
15,CLD,Cloud Peak Energy Inc.,Basic Materials,Industrial Metals & Minerals,USA,324.89,,4.18%,-15.10%,-5.77%,290.30%,-7.69%,-13.89%,33.65%,-34.95%,384.26%,39.41,5.23,-6.10%,1064400
16,EQT,EQT Corporation,Basic Materials,Independent Oil & Gas,USA,10866.14,,-1.68%,-9.46%,-7.89%,18.52%,-4.66%,-7.91%,-11.81%,-22.88%,24.77%,34.31,62.11,-0.06%,2868400
17,IO,ION Geophysical Corporation,Basic Materials,Oil & Gas Equipment & Services,USA,67.6,,0.88%,-22.45%,-5.00%,11.76%,-8.65%,-17.03%,-14.38%,-40.93%,123.53%,31.65,5.7,0.00%,118100
18,IPHS,"Innophos Holdings, Inc.",Basic Materials,Specialty Chemicals,USA,995.21,29.52,-0.55%,-9.15%,30.96%,122.49%,-3.52%,-3.32%,20.29%,-11.62%,141.96%,38.74,50.75,-0.72%,57100
19,PEIX,"Pacific Ethanol, Inc.",Basic Materials,Oil & Gas Refining & Marketing,USA,349.8,,-8.43%,-15.98%,12.88%,136.92%,-13.53%,-4.62%,23.74%,-25.57%,238.17%,36.77,8.15,-4.12%,579400
20,REGI,"Renewable Energy Group, Inc.",Basic Materials,Oil & Gas Refining & Marketing,USA,343.09,,-3.26%,-7.29%,0.34%,21.09%,-7.99%,-7.12%,-2.75%,-16.04%,47.84%,33.35,8.9,-2.20%,252400
21,CGG,CGG SA,Basic Materials,Oil & Gas Equipment & Services,France,245.4,,-11.59%,-25.41%,-61.80%,-65.70%,-20.56%,-28.49%,-52.51%,-80.91%,-0.36%,26.24,10.98,-1.96%,6700
22,LPI,"Laredo Petroleum, Inc.",Basic Materials,Independent Oil & Gas,USA,3304.66,,-7.09%,-2.83%,1.83%,89.11%,-6.87%,-5.81%,9.93%,-18.82%,242.82%,38.08,13.37,-3.33%,4288100
23,SD,"SandRidge Energy, Inc.",Basic Materials,Oil & Gas Drilling & Exploration,USA,424.16,,2.87%,-9.35%,-4.82%,,-7.01%,-8.30%,-7.74%,-19.85%,36.63%,35.73,21.52,-2.45%,39500
24,AE,"Adams Resources & Energy, Inc.",Basic Materials,Oil & Gas Refining & Marketing,USA,159.31,,-4.96%,-7.72%,4.80%,13.30%,-7.29%,-6.48%,0.17%,-14.73%,27.36%,36.71,37.75,-3.23%,12195
25,SWN,Southwestern Energy Company,Basic Materials,Independent Oil & Gas,USA,4824.71,,-0.72%,-11.36%,-24.96%,44.48%,-7.65%,-10.44%,-21.79%,-37.91%,82.64%,37.24,9.68,-3.59%,16266700
26,CMC,Commercial Metals Company,Basic Materials,Steel & Iron,USA,2310.2,43.09,-2.95%,-12.34%,33.13%,59.08%,-8.45%,-6.56%,13.95%,-18.04%,65.86%,34.4,20.08,-1.47%,2101000
27,SCHN,"Schnitzer Steel Industries, Inc.",Basic Materials,Steel & Iron,USA,623.73,,-2.33%,-19.41%,11.45%,100.97%,-11.82%,-14.98%,11.04%,-24.67%,105.44%,32.33,23.05,-2.74%,324800
28,HLX,"Helix Energy Solutions Group, Inc.",Basic Materials,Oil & Gas Equipment & Services,USA,1242.4,,-8.35%,-15.75%,-9.51%,130.73%,-8.05%,-11.56%,4.59%,-27.89%,229.23%,38.69,8.56,0.94%,2508400
29,SM,SM Energy Company,Basic Materials,Independent Oil & Gas,USA,3239.03,,-5.65%,-8.26%,-16.24%,181.42%,-7.04%,-6.78%,1.25%,-24.39%,367.03%,38.59,32.54,-1.87%,2838200
30,RPM,RPM International Inc.,Basic Materials,Specialty Chemicals,USA,6892.69,32.5,-0.48%,-2.79%,8.50%,34.35%,-3.00%,-1.30%,1.45%,-6.52%,43.67%,39.45,51.65,-1.71%,865300
31,TSO,Tesoro Corporation,Basic Materials,Oil & Gas Refining & Marketing,USA,9574.31,13.89,-1.04%,-9.84%,-0.38%,-10.47%,-6.83%,-5.76%,1.42%,-14.31%,22.43%,34.42,80.83,1.53%,2661200
32,WDFC,WD-40 Company,Basic Materials,Specialty Chemicals,USA,1460.1,28.57,-11.59%,-6.45%,-6.20%,7.65%,-8.50%,-6.06%,-6.80%,-16.43%,9.71%,31.35,103.7,0.83%,105600
33,IEP,Icahn Enterprises L.P.,Conglomerates,Conglomerates,USA,8286.31,,-6.30%,-6.47%,29.46%,11.02%,-5.78%,-0.13%,9.34%,-10.99%,51.05%,39.99,57.68,-4.88%,223100
34,SEB,Seaboard Corporation,Conglomerates,Conglomerates,USA,4377.77,14.02,-3.91%,-12.48%,6.15%,50.69%,-7.23%,-5.06%,13.27%,-17.67%,54.17%,38.28,3741.68,-2.31%,400
35,REX,REX American Resources Corporation,Conglomerates,Conglomerates,USA,607.99,25.05,-5.30%,-9.05%,8.60%,88.15%,-8.47%,-4.07%,21.59%,-12.85%,101.01%,29.14,89.41,0.15%,102900
36,NC,"NACCO Industries, Inc.",Consumer Goods,Home Furnishings & Fixtures,USA,534.71,23.58,-2.18%,-10.88%,13.47%,84.32%,-9.43%,-9.43%,18.79%,-18.76%,93.68%,33.47,80.65,-3.30%,7600
37,LEG,"Leggett & Platt, Incorporated",Consumer Goods,Home Furnishings & Fixtures,USA,6310.95,18.19,-1.44%,-5.16%,3.96%,25.37%,-3.65%,-2.45%,-3.21%,-12.38%,32.45%,35.28,47.22,0.47%,662600
38,MYE,"Myers Industries, Inc.",Consumer Goods,Rubber & Plastics,USA,404.06,158.14,-1.81%,-5.88%,8.32%,24.62%,-4.76%,-3.70%,-0.83%,-12.66%,39.65%,35.98,13.6,-2.86%,38200
39,FOSL,"Fossil Group, Inc.",Consumer Goods,Textile - Apparel Footwear & Accessories,USA,1210.5,12.42,4.57%,-19.20%,-10.23%,-16.10%,-3.25%,-14.68%,-16.93%,-50.65%,10.95%,38.86,25.63,1.87%,1530600
40,LNDC,Landec Corporation,Consumer Goods,Farm Products,USA,340.49,,-10.37%,-15.09%,-11.68%,11.32%,-11.34%,-13.25%,-2.22%,-21.94%,27.64%,29.94,12.1,-3.20%,70700
41,ALCO,"Alico, Inc.",Consumer Goods,Farm Products,USA,221.43,31.53,-1.30%,-6.97%,-0.80%,-15.55%,-3.73%,-3.33%,-5.41%,-21.09%,27.59%,39.67,26.55,0.19%,4900
42,CTB,Cooper Tire & Rubber Company,Consumer Goods,Rubber & Plastics,USA,1959.49,8.49,-2.42%,-6.09%,-0.01%,6.04%,-5.65%,-4.36%,4.48%,-9.99%,24.48%,35.54,36.25,0.00%,763200
43,FLXS,"Flexsteel Industries, Inc.",Consumer Goods,Home Furnishings & Fixtures,USA,417.21,18.39,-6.58%,-8.32%,9.56%,33.86%,-8.85%,-1.27%,17.04%,-13.19%,51.64%,37.12,54.68,-4.37%,19739
