No.,Ticker,Company,Sector,Industry,Country,P/E,Dividend Yield,Institutional Ownership,Institutional Transactions,Performance (Week),Performance (Month),Performance (Quarter),Performance (Year),20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,52-Week High,52-Week Low,Relative Strength Index (14),Price,Change,Volume
1,ACET,Aceto Corporation,Basic Materials,Chemicals - Major Diversified,USA,21.69,1.69%,85.80%,-0.09%,-1.66%,-22.62%,-21.10%,-29.13%,-7.41%,-20.37%,-25.84%,-40.50%,4.70%,25.35,15.36,-0.58%,121192
2,AGU,Agrium Inc.,Basic Materials,Agricultural Chemicals,Canada,23.16,3.52%,70.50%,4.15%,-4.53%,-9.33%,0.92%,22.33%,-4.44%,-3.65%,5.51%,-11.18%,28.29%,37.61,99.37,-1.18%,716641
3,AKS,AK Steel Holding Corporation,Basic Materials,Steel & Iron,USA,,,82.20%,38.41%,-8.34%,-2.91%,-9.79%,213.28%,-3.92%,-15.33%,24.34%,-29.59%,223.39%,38.88,8.02,-1.23%,15682378
4,AMID,"American Midstream Partners, LP",Basic Materials,Oil & Gas Pipelines,USA,,10.51%,61.90%,9.25%,-4.56%,-11.72%,7.48%,255.90%,-7.37%,-8.08%,15.46%,-12.91%,273.88%,32.93,15.7,-2.79%,202182
5,ANW,Aegean Marine Petroleum Network Inc.,Basic Materials,Major Integrated Oil & Gas,Greece,10.61,0.82%,79.40%,8.70%,-4.85%,-14.04%,-8.24%,54.60%,-8.90%,-8.04%,10.25%,-25.19%,96.73%,36.18,9.8,-4.39%,407588
6,APA,Apache Corporation,Basic Materials,Independent Oil & Gas,USA,,1.87%,96.80%,-0.70%,-3.33%,-13.06%,-14.16%,43.77%,-7.10%,-13.01%,-7.90%,-22.29%,50.54%,25.26,53.41,0.81%,5682870
7,APC,Anadarko Petroleum Corporation,Basic Materials,Independent Oil & Gas,USA,,0.31%,88.60%,-0.43%,-2.75%,-8.35%,1.20%,72.71%,-5.09%,-7.15%,7.34%,-11.67%,92.04%,33.35,64.77,-1.83%,4827956
8,AR,Antero Resources Corporation,Basic Materials,Oil & Gas Drilling & Exploration,USA,,,99.00%,7.63%,-4.72%,-6.76%,-4.04%,2.04%,-4.59%,-3.86%,-8.55%,-21.72%,11.89%,39.17,24,-1.23%,3702438
9,ARCX,Arc Logistics Partners LP,Basic Materials,Oil & Gas Pipelines,USA,16.12,11.58%,63.70%,-2.53%,-4.52%,-7.44%,5.86%,37.09%,-3.47%,-2.40%,8.94%,-10.20%,80.38%,38.6,15.2,-1.43%,37226
10,AROC,"Archrock, Inc.",Basic Materials,Oil & Gas Equipment & Services,USA,,3.60%,88.10%,-0.49%,-15.77%,-10.60%,-0.33%,273.84%,-12.13%,-7.94%,16.22%,-18.60%,308.92%,34.53,13.35,-3.96%,1000503
